OBJECTID_1 *,Shape *,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
141,Polygon,Bati,ET031002,<Null>,<Null>,<Null>,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.965854,0.100322
142,Polygon,Bati Town,ET031099,<Null>,<Null>,<Null>,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.084172,0.000301
143,Polygon,Bayera Koisha,ET070622,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.472517,0.005049
144,Polygon,Bechena Town,ET030699,<Null>,<Null>,<Null>,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.071656,0.000291
145,Polygon,Becho (Ilu Aba Bora),ET040314,<Null>,<Null>,<Null>,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.338142,0.048011
146,Polygon,Becho (SW Shewa),ET041309,<Null>,<Null>,<Null>,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.223868,0.035878
147,Polygon,Bedele town,ET041621,<Null>,<Null>,<Null>,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.152258,0.000699
148,Polygon,Bedeno,ET041013,<Null>,<Null>,<Null>,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.594603,0.067489
149,Polygon,Bedesa,ET040914,<Null>,<Null>,<Null>,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.067028,0.000248
150,Polygon,Begi,ET040116,<Null>,<Null>,<Null>,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.816532,0.071283
151,Polygon,Bekoji town,ET040894,<Null>,<Null>,<Null>,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.097422,0.000361
152,Polygon,Bele Gesgar,ET040823,<Null>,<Null>,<Null>,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.088527,0.052331
153,Polygon,Bena Tsemay,ET070705,<Null>,<Null>,<Null>,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.223827,0.294058
154,Polygon,Bensa,ET160008,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.30194,0.027454
155,Polygon,Berahile,ET020205,<Null>,<Null>,<Null>,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.902651,0.2439
156,Polygon,Berbere,ET041114,<Null>,<Null>,<Null>,Bale,ET0411,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.170051,0.128336
157,Polygon,Bereh,ET042011,<Null>,<Null>,<Null>,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.824102,0.058006
158,Polygon,Berehet,ET030517,<Null>,<Null>,<Null>,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.294251,0.063536
159,Polygon,Bero,ET071805,<Null>,<Null>,<Null>,Mirab Omo,ET0718,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.34937,0.048583
160,Polygon,Berocano,ET050608,<Null>,<Null>,<Null>,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.157179,0.191297
161,Polygon,Beyeda,ET030102,<Null>,<Null>,<Null>,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.917715,0.080763
162,Polygon,Bibugn,ET030601,<Null>,<Null>,<Null>,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.382159,0.033064
163,Polygon,Bidu,ET020208,<Null>,<Null>,<Null>,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,4.198428,0.582092
164,Polygon,Bila Seyo,ET040207,<Null>,<Null>,<Null>,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.649374,0.055151
165,Polygon,Bilate Zuria,ET160032,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.727522,0.022243
166,Polygon,Bilcil-Bur,ET050306,<Null>,<Null>,<Null>,Jarar,ET0503,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.424525,0.113197
167,Polygon,Bilidigilu,ET060306,<Null>,<Null>,<Null>,Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.31985,0.140655
168,Polygon,Bilo Nopha,ET040315,<Null>,<Null>,<Null>,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.076456,0.032495
169,Polygon,Birbirsa Kojowa,ET041596,<Null>,<Null>,<Null>,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.734349,0.016715
170,Polygon,Bishan Guracha,ET041798,<Null>,<Null>,<Null>,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.33683,0.00371
171,Polygon,Bishoftu town,ET040709,<Null>,<Null>,<Null>,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.866338,0.014611
172,Polygon,Bita,ET070910,<Null>,<Null>,<Null>,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.478755,0.089
173,Polygon,Biyoawale,ET150208,<Null>,<Null>,<Null>,Dire Dawa rural,ET1502,Dire Dawa,ET15,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.990172,0.028827
174,Polygon,Bizet,ET010310,<Null>,<Null>,<Null>,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.894627,0.013394
175,Polygon,Bodaley,ET050599,<Null>,<Null>,<Null>,Korahe,ET0505,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.585802,0.264919
176,Polygon,Boditi town,ET070615,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.1697,0.00112
177,Polygon,Boji Chekorsa,ET040110,<Null>,<Null>,<Null>,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.202527,0.028249
178,Polygon,Boji Dirmeji,ET040106,<Null>,<Null>,<Null>,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.200412,0.041055
179,Polygon,Boke,ET040910,<Null>,<Null>,<Null>,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.578914,0.084963
180,Polygon,Bokh,ET050702,<Null>,<Null>,<Null>,Doolo,ET0507,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.755044,0.661665
181,Polygon,Boko Dawula,ET070710,<Null>,<Null>,<Null>,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.411248,0.020154
182,Polygon,Bokolmayo,ET050999,<Null>,<Null>,<Null>,Liban,ET0509,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.312714,0.381415
183,Polygon,Bole,ET140104,<Null>,<Null>,<Null>,Region 14,ET1401,Addis Ababa,ET14,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.498154,0.01042
184,Polygon,Boloso Bombe,ET070608,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.76343,0.022286
185,Polygon,Boloso Sore,ET070601,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.18321,0.023596
186,Polygon,Bona Zuria,ET160017,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.051331,0.016414
187,Polygon,Boneya Boshe,ET040205,<Null>,<Null>,<Null>,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.056957,0.038983
188,Polygon,Bonga town,ET070911,<Null>,<Null>,<Null>,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.19279,0.001119
189,Polygon,Bonke,ET071014,<Null>,<Null>,<Null>,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.750725,0.009767
190,Polygon,Bora (OR),ET040710,<Null>,<Null>,<Null>,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.304256,0.040585
191,Polygon,Bora (TG),ET010402,<Null>,<Null>,<Null>,Southern,ET0104,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.637308,0.015547
192,Polygon,Bore,ET041402,<Null>,<Null>,<Null>,Guji,ET0414,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.403874,0.037057
193,Polygon,Borecha,ET041607,<Null>,<Null>,<Null>,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.481012,0.060639
194,Polygon,Boreda,ET071004,<Null>,<Null>,<Null>,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.99824,0.037954
195,Polygon,Borena /Debresina,ET030412,<Null>,<Null>,<Null>,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.574912,0.0842
196,Polygon,Boricha,ET160010,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.622071,0.009054
197,Polygon,Boset,ET040702,<Null>,<Null>,<Null>,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.962686,0.109429
198,Polygon,Botor Tolay,ET040495,<Null>,<Null>,<Null>,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.042134,0.078628
199,Polygon,Bugna,ET030301,<Null>,<Null>,<Null>,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.662085,0.108306
200,Polygon,Bui town,ET070117,<Null>,<Null>,<Null>,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.078941,0.000288
201,Polygon,Bule,ET070504,<Null>,<Null>,<Null>,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.54288,0.010322
202,Polygon,Bule Hora,ET041501,<Null>,<Null>,<Null>,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.016685,0.078995
203,Polygon,Bule Hora town,ET041587,<Null>,<Null>,<Null>,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.162697,0.001023
204,Polygon,Bulen,ET060207,<Null>,<Null>,<Null>,Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.135412,0.244309
205,Polygon,Bulike town,ET071508,<Null>,<Null>,<Null>,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.120363,0.000608
206,Polygon,Bura,ET160024,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.508912,0.008355
207,Polygon,Burayu,ET042001,<Null>,<Null>,<Null>,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.461897,0.006936
208,Polygon,Bure (AM),ET030710,<Null>,<Null>,<Null>,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.361749,0.06581
209,Polygon,Bure (OR),ET040312,<Null>,<Null>,<Null>,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.496766,0.089379
210,Polygon,Bure town,ET030798,<Null>,<Null>,<Null>,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.133985,0.001029
211,Polygon,Burji Special,ET072203,<Null>,<Null>,<Null>,Burji,ET0722,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.786873,0.11237
212,Polygon,Burqod,ET050394,<Null>,<Null>,<Null>,Jarar,ET0503,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.087907,0.219453
213,Polygon,Burqua Dhintu,ET040998,<Null>,<Null>,<Null>,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.883742,0.202155
214,Polygon,Bursa,ET160015,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.937307,0.013055
215,Polygon,Butajira town,ET070115,<Null>,<Null>,<Null>,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.164117,0.001324
216,Polygon,Chabe Gambeltu,ET160029,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.630083,0.010056
217,Polygon,Chagni town,ET030999,<Null>,<Null>,<Null>,Awi,ET0309,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.169832,0.001433
218,Polygon,Charati,ET050802,<Null>,<Null>,<Null>,Afder,ET0508,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,4.313063,0.691827
219,Polygon,Cheha,ET070110,<Null>,<Null>,<Null>,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.6178,0.045933
220,Polygon,Chelelektu town,ET070508,<Null>,<Null>,<Null>,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.059763,0.000131
221,Polygon,Cheliya,ET040505,<Null>,<Null>,<Null>,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.27171,0.032007
222,Polygon,Chena,ET070909,<Null>,<Null>,<Null>,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.479556,0.040399
223,Polygon,Chencha,ET071010,<Null>,<Null>,<Null>,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.089539,0.000398
224,Polygon,Chencha Zuriya,ET071006,<Null>,<Null>,<Null>,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.929949,0.023715
225,Polygon,Chercher,ET010414,<Null>,Raya Chercher,<Null>,Southern,ET0104,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.383289,0.061544
226,Polygon,Cheta,ET070907,<Null>,<Null>,<Null>,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.204003,0.056058
227,Polygon,Chifra,ET020106,<Null>,<Null>,<Null>,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.144615,0.123194
228,Polygon,Chila,ET010201,<Null>,<Null>,<Null>,Central,ET0102,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.310431,0.049471
229,Polygon,Chilga 1,ET031106,<Null>,<Null>,<Null>,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.596221,0.059819
230,Polygon,Chilga 2,ET031112,<Null>,<Null>,<Null>,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.640152,0.192533
231,Polygon,Chinaksen,ET041015,<Null>,<Null>,<Null>,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.833367,0.128366
232,Polygon,Chire,ET160014,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.7482,0.013492
233,Polygon,Chiro town,ET040905,<Null>,<Null>,<Null>,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.131186,0.000485
234,Polygon,Chiro Zuria,ET040913,<Null>,<Null>,<Null>,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.779877,0.056622
235,Polygon,Chirone,ET160027,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.479174,0.005919
236,Polygon,Chole,ET040809,<Null>,<Null>,<Null>,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.318985,0.048005
237,Polygon,Choman Guduru,ET041911,<Null>,<Null>,<Null>,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.975233,0.036774
238,Polygon,Chora (Buno Bedele),ET041603,<Null>,<Null>,<Null>,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.433484,0.067631
239,Polygon,Chora (Jimma),ET040415,<Null>,<Null>,<Null>,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.228133,0.068522
240,Polygon,Chuko town,ET160035,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.069738,0.000162
241,Polygon,Churso,ET070510,<Null>,<Null>,<Null>,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.630091,0.014587
242,Polygon,Chwaka,ET041623,<Null>,<Null>,<Null>,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.231762,0.051262
243,Polygon,Cobi,ET040592,<Null>,<Null>,<Null>,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.064341,0.046415
244,Polygon,Dabat,ET030105,<Null>,<Null>,<Null>,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.019848,0.090817
245,Polygon,Dabat town,ET030106,<Null>,<Null>,<Null>,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.104149,0.000397
246,Polygon,Dabo Hana,ET041605,<Null>,<Null>,<Null>,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.581594,0.061307
247,Polygon,Daella,ET160034,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.694755,0.012623
248,Polygon,Dale,ET160004,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.289467,0.023521
249,Polygon,Dale Sadi,ET041808,<Null>,<Null>,<Null>,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.359088,0.047441
250,Polygon,Dale Wabera,ET041803,<Null>,<Null>,<Null>,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.634429,0.043539
251,Polygon,Dalefage,ET020504,<Null>,<Null>,<Null>,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.685412,0.080803
252,Polygon,Dalocha,ET072005,<Null>,<Null>,<Null>,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.072128,0.024697
253,Polygon,Dalol,ET020206,<Null>,<Null>,<Null>,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.64565,0.18699
254,Polygon,Dama,ET041408,<Null>,<Null>,<Null>,Guji,ET0414,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.062216,0.029182
255,Polygon,Damboya,ET070307,<Null>,<Null>,<Null>,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.639099,0.013365
256,Polygon,Damot Gale,ET070602,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.10802,0.019801
257,Polygon,Damot Pullasa,ET070611,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.599443,0.013512
258,Polygon,Damot Sore,ET070609,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.060858,0.014426
259,Polygon,Damot Woide,ET070603,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.629193,0.017654
260,Polygon,Danan,ET050603,<Null>,<Null>,<Null>,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.735143,0.172821
261,Polygon,Dangila,ET030901,<Null>,<Null>,<Null>,Awi,ET0309,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.790914,0.075323
262,Polygon,Dangila town,ET030998,<Null>,<Null>,<Null>,Awi,ET0309,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.110165,0.00075
263,Polygon,Dangura,ET060201,<Null>,<Null>,<Null>,Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.71753,0.394063
264,Polygon,Dano,ET040507,<Null>,<Null>,<Null>,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.263828,0.05422
265,Polygon,Danod,ET050701,<Null>,<Null>,<Null>,Doolo,ET0507,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,4.736433,0.63557
266,Polygon,Dansha town,ET010506,<Null>,<Null>,<Null>,Western,ET0105,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.839824,0.090753
267,Polygon,Dara,ET160006,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.691561,0.012095
268,Polygon,Dara Otilicho,ET160025,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.554092,0.009393
269,Polygon,Daramalo,ET071009,<Null>,<Null>,<Null>,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.856642,0.029579
270,Polygon,Darara,ET160033,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.880425,0.022556
271,Polygon,Daratole,ET050788,<Null>,<Null>,<Null>,Doolo,ET0507,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.143043,0.081286
272,Polygon,Darimu,ET040301,<Null>,<Null>,<Null>,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.012796,0.113127
273,Polygon,Daro Lebu,ET040909,<Null>,<Null>,<Null>,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.892334,0.108912
274,Polygon,Daror,ET050392,<Null>,<Null>,<Null>,Jarar,ET0503,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.575785,0.571484
275,Polygon,Dasenech /Kuraz,ET070706,<Null>,<Null>,<Null>,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.17881,0.210664
276,Polygon,Dawe,ET020503,<Null>,<Null>,<Null>,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.465214,0.061948
277,Polygon,Dawe Ketchen,ET042106,<Null>,<Null>,<Null>,East Bale,ET0421,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.109189,0.138169
278,Polygon,Dawo,ET041304,<Null>,<Null>,<Null>,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.460479,0.037937
279,Polygon,Dawunt,ET030311,<Null>,<Null>,<Null>,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.158023,0.05126
280,Polygon,Daye town,ET160030,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.071356,0.00021
281,Polygon,Debark,ET030104,<Null>,<Null>,<Null>,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.780845,0.103947
282,Polygon,Debark town,ET030198,<Null>,<Null>,<Null>,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.103931,0.000472
283,Polygon,Debati,ET060205,<Null>,<Null>,<Null>,Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.871576,0.178758
284,Polygon,Debay Telatgen,ET030607,<Null>,<Null>,<Null>,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.298606,0.051745
285,Polygon,Debeweyin,ET050504,<Null>,<Null>,<Null>,Korahe,ET0505,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.155735,0.203136
286,Polygon,Debre Berhan town,ET030520,<Null>,<Null>,<Null>,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.920052,0.012059
287,Polygon,Debre Elias,ET030608,<Null>,<Null>,<Null>,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.685046,0.098426
288,Polygon,Debre Libanos,ET040607,<Null>,<Null>,<Null>,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.06739,0.023326
289,Polygon,Debre Markos town,ET030615,<Null>,<Null>,<Null>,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.375309,0.005435
