OBJECTID_1 *,Shape *,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
34,Polygon,Adigudom,ET010607,<Null>,<Null>,<Null>,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.15818,0.001354
35,Polygon,Adilo,ET070309,<Null>,<Null>,<Null>,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.554254,0.006485
36,Polygon,Adisezemen town,ET030299,<Null>,<Null>,<Null>,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.073714,0.000302
37,Polygon,Adiyio,ET070905,<Null>,<Null>,<Null>,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.428197,0.082801
38,Polygon,Adola,ET041403,<Null>,<Null>,<Null>,Guji,ET0414,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.250014,0.099084
39,Polygon,Adola town,ET041492,<Null>,<Null>,<Null>,Guji,ET0414,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.215999,0.002237
40,Polygon,Adwa,ET010204,<Null>,Wereda Adwa,<Null>,Central,ET0102,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.637675,0.055118
41,Polygon,Adwa town,ET010212,<Null>,<Null>,<Null>,Central,ET0102,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.223112,0.002286
42,Polygon,Afambo,ET020104,<Null>,<Null>,<Null>,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.929012,0.141589
43,Polygon,Afdem,ET050105,<Null>,<Null>,<Null>,Siti,ET0501,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.508008,0.210753
44,Polygon,Afdera,ET020207,<Null>,<Null>,<Null>,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,4.354702,1.043307
45,Polygon,Aga Wayu,ET041482,<Null>,<Null>,<Null>,Guji,ET0414,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.627387,0.051705
46,Polygon,Agarfa,ET041104,<Null>,<Null>,<Null>,Bale,ET0411,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.859362,0.100111
47,Polygon,Agaro town,ET040417,<Null>,<Null>,<Null>,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.118838,0.00067
48,Polygon,Agulae,ET010316,<Null>,Tsira Wenberta,<Null>,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.755025,0.078442
49,Polygon,Aheferom,ET010202,<Null>,<Null>,<Null>,Central,ET0102,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.551193,0.038513
50,Polygon,Ahsea,ET010215,<Null>,<Null>,<Null>,Central,ET0102,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.023321,0.030331
51,Polygon,Akaki,ET042012,<Null>,<Null>,<Null>,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.828369,0.044702
52,Polygon,Akaki - Kalit,ET140101,<Null>,<Null>,<Null>,Region 14,ET1401,Addis Ababa,ET14,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.537546,0.010433
53,Polygon,Akobo,ET120101,<Null>,<Null>,<Null>,Nuwer,ET1201,Gambela,ET12,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.881411,0.175603
54,Polygon,Alamata town,ET010411,<Null>,<Null>,<Null>,Southern,ET0104,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.156219,0.001051
55,Polygon,Albuko,ET030408,<Null>,<Null>,<Null>,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.40038,0.039435
